artist,album,score,genres
Health,Death Magic,7.8,Rock
Haim,Days Are Gone,8.3,Rock
Earl Sweatshirt,Doris,8.3,Rap
Big Sean & Metro Boomin,Double or Nothing,5.4,Rap
Bill Callahan,Dream River,8.5,Rock
Tribulation,Down Below,8.0,Metal
The Gaslamp Killer,Death Gate,7.5,Rap
Fucked Up,David Comes to Life,8.6,Metal
Pile,Dripping,SCORE ERROR,GENRES ERROR
Daft Punk,Discovery,6.4,Electronic
Avey Tare,Down There,7.9,Experimental
Billy Woods,Dour Candy,7.8,Rap
Injury Reserve,Drive It Like It's Stolen,SCORE ERROR,GENRES ERROR
Gucci Mane & Metro Boomin,Drop Top Wop,SCORE ERROR,GENRES ERROR
Cormorant,Dwellings,SCORE ERROR,GENRES ERROR
Ghoul,Dungeon Bastards,SCORE ERROR,GENRES ERROR
Future,DS2,SCORE ERROR,GENRES ERROR
Megadeth,Dystopia,SCORE ERROR,GENRES ERROR
Yucky Duster,Duster's Lament,SCORE ERROR,GENRES ERROR
Gucci Mane,El Gato: The Human Glacier,SCORE ERROR,GENRES ERROR
Busdriver,Electricity is on our Side,SCORE ERROR,GENRES ERROR
Dumbo Gets Mad,Elephants at the Door,SCORE ERROR,GENRES ERROR
Elzhi,Elmatic,SCORE ERROR,GENRES ERROR
Carly Rae Jepsen,Emotion: Side B,SCORE ERROR,GENRES ERROR
Ameer Vann,Emmanuel,SCORE ERROR,GENRES ERROR
Carly Rae Jepsen,Emotion,SCORE ERROR,GENRES ERROR
John Frusciante,Enclosure,SCORE ERROR,GENRES ERROR
Street Sects,End Position,SCORE ERROR,GENRES ERROR
Anamanaguchi,Endless Fantasy,SCORE ERROR,GENRES ERROR
Black Curse,Endless Wound,SCORE ERROR,GENRES ERROR
TOAD,Endless Night,SCORE ERROR,GENRES ERROR
Wu-Tang Clan,Enter the Wu-Tang: 36 Chambers,SCORE ERROR,GENRES ERROR
Lupe Fiasco,DROGAS Wave,6.2,Rap
THEESatisfaction,EarthEE,6.8,Rock
Deathspell Omega,Drought,6.7,Metal
Gunna,Drip or Drown 2,6.7,Rap
6ix9ine,Dummy Boy,3.4,Rap
Meek Mill,Dreams Worth More Than Money,7.4,Rap
Battles,Dross Glop,7.8,Rock
Dawn of Midi,Dysnomia,7.9,
Thundercat,Drunk,7.4,"Jazz,Pop/R&B"
ECCO2K,E,7.4,Electronic
Lupe Fiasco,DROGAS Light,7.4,Rap
A Perfect Circle,Eat the Elephant,4.9,Rock
Heems,Eat Pray Thug,6.3,Rap
Rosalía,El mal querer,8.8,Pop/R&B
Daniel Avery,Drone Logic,7.2,Electronic
Mastodon,Emperor of Sand,7.6,Metal
Shellac,Dude Incredible,8.0,Rock
High on Fire,Electric Messiah,7.8,Metal
LCD Soundsystem,Electric Lady Sessions,7.9,"Electronic,Rock"
Holy Ghost!,Dynamics,6.3,"Electronic,Rock"
Zombi,Escape Velocity,SCORE ERROR,GENRES ERROR
6LACK,East Atlanta Love Letter,6.1,Pop/R&B
Twin Shadow,Eclipse,4.9,Rock
Muse,Drones,4.5,Rock
Blanck Mass,Dumb Flesh,7.6,Electronic
Interpol,El Pintor,5.9,Rock
The Internet,Ego Death,7.4,Pop/R&B
The Weeknd,Echoes of Silence,8.1,Pop/R&B
Captain Murphy,Duality,8.0,Rap
Big Ups,Eighteen Hours of Static,7.0,Rock
Gnaw Their Tongues,Eschatological Scatology,SCORE ERROR,GENRES ERROR
B.o.B,Ether,SCORE ERROR,GENRES ERROR
Czarface,Every Hero Needs A Villain,SCORE ERROR,GENRES ERROR
The Underachievers,Evermore: The Art of Duality,SCORE ERROR,GENRES ERROR
Avey Tare's Slasher Flicks,Enter The Slasher House,7.3,"Experimental,Rock"
Ty Segall,Emotional Mugger,7.3,Rock
Citizen,Everybody Is Going To Heaven,SCORE ERROR,GENRES ERROR
$uicideboy$,Eternal Grey,SCORE ERROR,GENRES ERROR
Frank Ocean,Endless,9.0,Pop/R&B
Sampha,DUAL,7.4,Electronic
Sleaford Mods,English Tapas,7.9,Rock
Jean Grae x Quelle Chris,Everything's Fine,SCORE ERROR,GENRES ERROR
Boogie,Everythings for Sale,SCORE ERROR,GENRES ERROR
KEN mode,Entrench,8.2,Metal
CupcakKe,Ephorize,8.3,Rap
Burzum,Fallen,SCORE ERROR,GENRES ERROR
Smith Westerns,Dye It Blonde,8.4,Rock
The Black Keys,El Camino,7.4,Rock
DJ Shadow,Endtroducing.....,10.0,Electronic
James Blake,Enough Thunder,6.4,Pop/R&B
Neon Indian,Era Extraña,7.9,Electronic
Mayhem,Esoteric Warfare,7.6,Metal
Princess Nokia,Everything Is Beautiful & Everything Sucks,7.1,Rap
Jaden,ERYS,4.7,Rap
Lil Uzi Vert,Eternal Atake,6.9,Rap
Bladee,Exeter,7.2,
Lil Peep,Everybody's Everything,7.4,Rap
Foals,Everything Not Saved Will Be Lost Part 1,6.0,Rock
Logic,Everybody,5.2,Rap
The Carters,Everything Is Love,8.2,"Pop/R&B,Rap"
Damon Albarn,Everyday Robots,7.0,Rock
Sharon Van Etten,Epic,7.8,Rock
Autechre,Exai,5.9,Electronic
Rapsody,Eve,8.0,Rap
The Drones,Feelin' Kinda Free,SCORE ERROR,GENRES ERROR
Gucci Mane,Everybody Looking,7.0,Rap
Oh Sees,Face Stabber,6.6,Rock
Vein,Errorzone,7.8,Metal
No Age,Everything In Between,8.8,Rock
Death Grips,Exmilitary,7.5,"Experimental,Rap"
Weezer,Everything Will Be Alright In The End,6.5,Rock
Future,EVOL,7.3,Rap
CHVRCHES,Every Open Eye,7.7,Pop/R&B
Yo La Tengo,Fade,8.1,Rock
Coldplay,Everyday Life,6.8,Rock
Arcade Fire,Everything Now,5.6,Rock
Mac Miller,Faces,7.3,Rap
Kylesa,Exhausting Fire,7.4,Metal
of Montreal,False Priest,6.7,Rock
Andy Stott,Faith In Strangers,8.4,Electronic
Lightning Bolt,Fantasy Empire,8.0,Rock
Deerhunter,Fading Frontier,8.4,Rock
Death Grips,Fashion Week,6.6,"Experimental,Rap"
Offset,Father of 4,6.9,Rap
The Haxan Cloak,Excavation,8.7,Experimental
Green Day,Father of All...,6.7,Rock
Zach Hill,Face Tat,7.5,Experimental
Vampire Weekend,Father of the Bride,8.0,Rock
Wolf Parade,Expo 86,7.5,Rock
Judas Priest,Firepower,SCORE ERROR,GENRES ERROR
Dorian Electra,Flamboyant,SCORE ERROR,GENRES ERROR
Injury Reserve,Floss,SCORE ERROR,GENRES ERROR
RP Boo,"""Fingers, Bank Pads & Shoeprints""",SCORE ERROR,GENRES ERROR
Title Fight,Floral Green,SCORE ERROR,GENRES ERROR
Sinjin Hawke,First Opus,SCORE ERROR,GENRES ERROR
Waka Flocka Flame,Flockaveli 1.5,SCORE ERROR,GENRES ERROR
King Gizzard and the Lizard Wizard,Flying Microtonal Banana,SCORE ERROR,GENRES ERROR
Bedwetter,Flick Your Tongue Against Your Teeth and Describe the Present,SCORE ERROR,GENRES ERROR
Girls,"""Father, Son, Holy Ghost""",9.3,Rock
Shad,Flying Colours,SCORE ERROR,GENRES ERROR
Tool,Fear Inoculum,5.4,Metal
Lupe Fiasco,Food & Liquor 2: The Great American Rap Album Pt. 1,SCORE ERROR,GENRES ERROR
Calvaiire,Forceps,SCORE ERROR,GENRES ERROR
James Ferraro,Four Pieces for Mirai,SCORE ERROR,GENRES ERROR
Lil Wayne,Free Weezy Album,SCORE ERROR,GENRES ERROR
Chris Stapleton,From A Room: Volume 1,SCORE ERROR,GENRES ERROR
Chris Stapleton,"""From A Room, Vol. 2""",SCORE ERROR,GENRES ERROR
Soap&Skin,From Gas to Solid / You Are My Friend,SCORE ERROR,GENRES ERROR
Silver Mount Zion,Fuck Off Get Free We Pour Light On Everything,SCORE ERROR,GENRES ERROR
Melt-Banana,Fetch,7.8,"Experimental,Rock"
Fiona Apple,Fetch the Bolt Cutters,10.0,Rock
Megan Thee Stallion,Fever,8.0,Rap
King Gizzard & The Lizard Wizard,Fishing for Fishies,4.8,Rock
Sleepy Sun,Fever,6.1,Rock
Armand Hammer,Furtive Movements,SCORE ERROR,GENRES ERROR
Earl Sweatshirt,Feet of Clay,8.4,Rap
"""Curren$y, Freddie Gibbs & The Alchemist """,Fetti,8.0,Rap
Twin Shadow,Forget,8.4,Rock
A$AP Ferg,Ferg Forever,6.4,Rap
Modern Life Is War,Fever Hunting,7.9,
Chief Keef,Finally Rich,7.5,Rap
John Talabot,fin,8.5,Electronic
Code Orange,Forever,7.5,Metal
Off!,First Four EPs,8.5,"Metal,Rock"
Thee Oh Sees,Floating Coffin,8.0,Rock
Macintosh Plus,Floral Shoppe,8.8,"Electronic,Experimental"
Flying Lotus,Flamagra,7.8,Electronic
Vince Staples,FM!,8.2,Rap
Harry Styles,Fine Line,6.0,Pop/R&B
Teen Daze,Four More Years,7.1,Rock
Pallbearer,Foundations of Burden,8.6,Metal
Refused,Freedom!,5.4,Rock
Marissa Nadler,For My Crimes,7.2,Folk/Country
Xiu Xiu,Forget,6.4,"Experimental,Rock"
Bloc Party,Four,4.9,Rock
Daniel Caesar,Freudian,7.3,Pop/R&B
"""Tyler, the Creator """,Flower Boy,8.5,Rap
Neurosis,Fires Within Fires,7.1,Metal
Indian,From All Purity,8.2,"Metal,Rock"
Bones,Garbage,SCORE ERROR,GENRES ERROR
Blood Orange,Freetown Sound,8.8,Pop/R&B
Lil Wayne,Funeral,7.3,Rap
Ty Dolla $ign,Free TC,7.7,Rap
Holograms,Forever,7.1,
Alex Cameron,Forced Witness,7.8,Rock
Ty Segall,Freedom's Goblin,8.1,Rock
Calvin Harris,Funk Wav Bounces Vol. 1,6.7,Electronic
Machine Gun Kelly,General Admission,SCORE ERROR,GENRES ERROR
Prurient,Frozen Niagara Falls,8.5,Experimental
Freddie Gibbs,Freddie,8.1,Rap
Full of Hell,Full of Hell & Merzbow,5.5,"Experimental,Metal"
Broken Social Scene,Forgiveness Rock Record,8.3,Rock
Lim Kim,Generasian,SCORE ERROR,GENRES ERROR
GFOTY,GFOTYBUCKS,SCORE ERROR,GENRES ERROR
Nick Cave and the Bad Seeds,Ghosteen,SCORE ERROR,GENRES ERROR
Beirut,Gallipoli,6.6,Rock
Quelle Chris,Ghost At The Finish Line,SCORE ERROR,GENRES ERROR
Giles Corey,Giles Corey,SCORE ERROR,GENRES ERROR
YC The Cynic,GNK,SCORE ERROR,GENRES ERROR
King Los,"""God, Money, War""",SCORE ERROR,GENRES ERROR
Mac Miller,GO:OD AM,SCORE ERROR,GENRES ERROR
Limp Bizkit,Gold Cobra,SCORE ERROR,GENRES ERROR
Madeon,Good Faith,SCORE ERROR,GENRES ERROR
Wiley,Godfather II,SCORE ERROR,GENRES ERROR
Dua Lipa,Future Nostalgia,7.5,Pop/R&B
Wiley,Godfather,7.4,Rap
Everything Everything,Get to Heaven,7.2,Rock
SOB x RBE,Gangin,7.7,Rap
The Maccabees,Given to the Wild,4.0,"Electronic,Rock"
Jacaszek,Glimmer,7.7,"Electronic,Jazz,Rock"
Valee,"""GOOD Job, You Found Me""",7.4,Rap
Father John Misty,God's Favorite Customer,8.5,Rock
Macklemore,Gemini,5.4,Rap
Buke and Gase,General Dome,7.0,Experimental
Domo Genesis,Genesis,4.9,Rap
Actress,Ghettoville,6.7,Electronic
Blu & Exile,Give Me My Flowers While I Can Still Smell Them,6.8,
Xiu Xiu,Girl with Basket of Fruit,6.0,"Experimental,Rock"
Jonsi,Go,7.9,Rock
Dinosaur Jr.,Give A Glimpse of What Yer Not,7.5,Rock
Aminé,Good For You,7.3,Rap
Battles,Gloss Drop,7.4,Rock
Pharrell,G I R L,6.2,Pop/R&B
Wild Nothing,Gemini,8.2,Rock
Rustie,Glass Swords,8.0,Electronic
BROCKHAMPTON,GINGER,6.5,Rap
"""Tyler, The Creator""",Goblin,8.0,Rap
Juice WRLD,Goodbye & Good Riddance,6.4,Rap
Baroness,Gold & Grey,8.0,Metal
Belle and Sebastian,Girls In Peacetime Want To Dance,6.6,Rock
Blu,Good To Be Home,6.5,Rap
Rick Ross,"""God Forgives, I Don't""",6.8,Rap
Banks,Goddess,5.0,Pop/R&B
The Postal Service,Give Up,8.0,"Electronic,Rock"
Kacey Musgraves,Golden Hour,8.7,Folk/Country
Dan Deacon,Gliss Riffer,7.2,Electronic
The Mountain Goats,Goths,8.0,Rock
Coldplay,Ghost Stories,4.4,Rock
Lone,Galaxy Garden,8.2,Electronic
Passion Pit,Gossamer,8.4,Pop/R&B
Bleachers,Gone Now,6.1,Pop/R&B
Deftones,Gore,7.8,"Metal,Rock"
Remo Drive,Greatest Hits,SCORE ERROR,GENRES ERROR
Kendrick Lamar,"""good kid, m.A.A.d. city""",9.5,Rap
WU LYF,Go Tell Fire To The Mountain,8.4,"Experimental,Rock"
Ash Koosha,GUUD,SCORE ERROR,GENRES ERROR
The Garden,Haha,SCORE ERROR,GENRES ERROR
Steven Wilson,Hand. Cannot. Erase.,SCORE ERROR,GENRES ERROR
Uncommon Nasa,Halfway,SCORE ERROR,GENRES ERROR
The Black Heart Rebellion,Har Nevo,SCORE ERROR,GENRES ERROR
Haru Nemuri,Haru to Shura,SCORE ERROR,GENRES ERROR
Apathy,Handshakes With Snakes,SCORE ERROR,GENRES ERROR
HMLTD,Hate Music Last Time Delete,SCORE ERROR,GENRES ERROR
Swain,Heavy Dancing,SCORE ERROR,GENRES ERROR
Bad Meets Evil,Hell: The Sequel,SCORE ERROR,GENRES ERROR
ZelooperZ,HELP,SCORE ERROR,GENRES ERROR
DJ Khaled,Grateful,5.2,Rap
Mogwai,"""Hardcore Will Never Die, but You Will""",6.6,Rock
Kamasi Washington,Heaven and Earth,6.5,Jazz
Foxygen,Hang,7.0,Rock
Grinderman,Grinderman 2,6.0,"Electronic,Rock"
Death Grips,Government Plates,8.4,"Experimental,Rap"
Guerilla Toss,GT Ultra,7.5,Rock
Little Simz,Grey Area,8.1,Rap
Marilyn Manson,Heaven Upside Down,5.9,Metal
Rustie,Green Language,7.2,Electronic
King Gizzard & The Lizard Wizard,Gumboot Soup,7.7,Rock
Quelle Chris,Guns,7.7,Rap
Classixx,Hanging Gardens,7.8,Electronic
Liturgy,H.A.Q.Q.,7.6,Metal
Open Mike Eagle & Paul White,Hella Personal Film Festival,7.3,"Experimental,Rap,Rock"
Schoolboy Q,Habits & Contradictions,8.4,Rap
Stormzy,Heavy Is the Head,7.0,Rap
Pallbearer,Heartless,6.0,Metal
The World Is A Beautiful Place & I Am No Longer Afraid To Die,Harmlessness,7.9,Rock
Lil Pump,Harverd Dropout,3.8,Rap
Maggie Rogers,Heard It in a Past Life,5.9,Pop/R&B
88rising,Head in the Clouds,6.8,
Yves Tumor,Heaven to a Tortured Mind,8.5,Experimental
Xibalba,Hasta La Muerte,7.0,Metal
Deerhunter,Halcyon Digest,9.2,Rock
Vince Staples,Hell Can Wait,8.5,Rap
Holy Other,Held,8.0,"Electronic,Rock"
Don Toliver,Heaven or Hell,6.1,Rap
Julia Holter,Have You In My Wilderness,8.4,Experimental
Tegan and Sara,Heartthrob,7.3,Rock
Metallica,Hardwired...To Self-Destruct,6.5,Metal
U.S. Girls,Heavy Light,8.5,Pop/R&B
The Raconteurs,Help Us Stranger,6.4,Rock
Fleet Foxes,Helplessness Blues,8.8,Folk/Country
Mac DeMarco,Here Comes the Cowboy,6.7,Rock
Angel Olsen,Half Way Home,8.0,Rock
Cloud Nothings,Here And Nowhere Else,8.7,Rock
Ty Segall & White Fence,Hair,8.2,Rock
Clipse,Hell Hath No Fury,9.1,Rap
Torche,Harmonicraft,6.5,Metal
Fashawn,Higher Learning Vol. 2,SCORE ERROR,GENRES ERROR
The Uncluded,Hokey Fright,SCORE ERROR,GENRES ERROR
The Mary Onettes,Hit The Waves,SCORE ERROR,GENRES ERROR
Frank Zappa,Hot Rats,SCORE ERROR,GENRES ERROR
The UV Race,Homo,SCORE ERROR,GENRES ERROR
Bob Dylan,Highway 61 Revisited,SCORE ERROR,GENRES ERROR
Billy Woods,History Will Absolve me,SCORE ERROR,GENRES ERROR
Timber Timbre,Hot Dreams,SCORE ERROR,GENRES ERROR
Apathy,Honkey Kong,SCORE ERROR,GENRES ERROR
Glass Animals,How To Be A Human Being,SCORE ERROR,GENRES ERROR
This Routine Is Hell,Howl,SCORE ERROR,GENRES ERROR
Nine Inch Nails,Hesitation Marks,7.0,Rock
Florence + The Machine,High As Hope,5.7,Pop/R&B
Future,Hndrxx,7.0,Rap
Billy Woods & Kenny Segal,Hiding Places,7.7,Rap
Chelsea Wolfe,Hiss Spun,7.2,Rock
Opeth,Heritage,6.9,Metal
Harlem,Hippies,8.1,Rock
Post Malone,Hollywood's Bleeding,6.8,Rap
Ka,Honor Killed the Samurai,8.0,Rap
Makaya McCraven,Highly Rare,7.6,Jazz
Flume,Hi This Is Flume,7.6,Electronic
Kesha,High Road,5.9,Pop/R&B
Foals,Holy Fire,7.6,Rock
The Internet,Hive Mind,8.3,Pop/R&B
Future,Honest,8.1,Rap
Spoon,Hot Thoughts,7.4,Rock
Doja Cat,Hot Pink,7.4,Rap
Grave Babies,Holographic Violence,6.4,Rock
Lana Del Rey,Honeymoon,7.5,Pop/R&B
Nosaj Thing,Home,7.8,Electronic
Laurie Anderson,Homeland,8.3,Experimental
The Hotelier,"""Home, Like NoPlace Is There""",8.2,Rock
The National,High Violet,8.7,Rock
(Sandy) Alex G,House of Sugar,8.6,Rock
Future Of The Left,How To Stop Your Brain In An Accident,7.4,Rock
Modern Baseball,Holy Ghost,7.7,Rock
Florence + The Machine,"""How Big, How Blue, How Beautiful""",7.6,Pop/R&B
Kayo Dot,Hubardo,SCORE ERROR,GENRES ERROR
Beyoncé,Homecoming,9.3,Pop/R&B
Beastie Boys,Hot Sauce Committee Part Two,7.0,"Rap,Rock"
Kate Bush,Hounds of Love,10.0,Pop/R&B
The Roots,How I Got Over,8.1,Rap
Lou the Human,Humaniac,SCORE ERROR,GENRES ERROR
The Weeknd,House of Balloons,8.5,Pop/R&B
ANOHNI,Hopelessness,9.0,Experimental
Jagwar Ma,Howlin,7.7,Rock
Pissed Jeans,Honeys,8.1,Rock
Holy Ghost!,Holy Ghost!,6.8,"Electronic,Rock"
Luke Abbott,Holkham Drones,7.5,Electronic
Neurosis,Honor Found In Decay,7.9,Metal
Patti Smith,Horses,9.4,Rock
Anthony Fantano,HUMAN BEING,SCORE ERROR,GENRES ERROR
Comet Gain,Howl of the Lonely Crowd,7.3,"Experimental,Rock"
Code Orange,I Am King,SCORE ERROR,GENRES ERROR
Westside Gunn,HWH7,SCORE ERROR,GENRES ERROR
21 Savage,I Am Greater Than I Was,SCORE ERROR,GENRES ERROR
Roland Kirk,I Talk With the Spirits,SCORE ERROR,GENRES ERROR
Behemoth,I Loved You at Your Darkest,SCORE ERROR,GENRES ERROR
$uicideBoy$,I Want to Die in New Orleans,SCORE ERROR,GENRES ERROR
The Drones,I See Seaweed,SCORE ERROR,GENRES ERROR
Benjamin Clementine,I Tell A Fly,SCORE ERROR,GENRES ERROR
Milo,I Wish My Brother Rob Was Here,SCORE ERROR,GENRES ERROR
Loma Prieta,I.V.,SCORE ERROR,GENRES ERROR
Zammuto,Idiom Wind,SCORE ERROR,GENRES ERROR
Horrendous,Idol,SCORE ERROR,GENRES ERROR
Drake,"""If You're Reading This, It's Too Late ALBUM /""",SCORE ERROR,GENRES ERROR
Integrity,"""Howling, For The Nightmare Shall Consume""",7.7,Metal
Gorillaz,Humanz,6.9,"Electronic,Rock"
Krallice,Hyperion,8.3,Metal
Weezer,Hurley,5.0,Rock
Beck,Hyperspace,6.5,Rock
Tune-Yards,I Can Feel You Creep Into My Private Life,6.2,Pop/R&B
Poppy,I Disagree,6.5,
Descendents,Hypercaffium Spazzinate,7.3,"Metal,Rock"
Big Sean,I Decided,6.3,Rap
The National,I Am Easy to Find,7.6,Rock
Jens Lekman,I Know What Love Isn't,7.7,Rock
Earl Sweatshirt,"""I Don't Like Shit, I Don't Go Outside""",8.0,Rap
Travis Scott & Quavo,"""Huncho Jack, Jack Huncho""",6.3,Rap
Sun Kil Moon,I Also Want to Die in New Orleans,3.2,Folk/Country
Ash Koosha,I AKA I,7.5,Electronic
The 1975,"""I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It""",6.5,Rock
Bloc Party,Hymns,5.0,Rock
Broken Social Scene,Hug of Thunder,7.2,Rock
Loathe,I Let It in and It Took Everything,7.8,Metal
Cass McCombs,Humor Risk,7.6,Folk/Country
Father John Misty,"""I Love You, Honeybear""",8.8,Rock
BADBADNOTGOOD,III,SCORE ERROR,GENRES ERROR
Title Fight,Hyperview,7.6,Rock
Parquet Courts,Human Performance,8.4,Rock
Dinosaur Jr.,I Bet On Sky,7.9,Rock
Lil B,I'm Gay (I'm Happy),8.1,Rap
M83,"""Hurry Up, We're Dreaming""",9.1,"Electronic,Rock"
Young Thug,I'm Up,7.6,Rap
Red Hot Chili Peppers,I'm With You,4.0,Rock
Miami Horror,Illumination,SCORE ERROR,GENRES ERROR
"""Tyler, the Creator """,IGOR,8.0,Rap
Unknown Mortal Orchestra,II,7.3,Rock
Let's Eat Grandma,I'm All Ears,8.6,Pop/R&B
Local Natives,Hummingbird,8.1,Rock
The xx,I See You,8.4,"Electronic,Pop/R&B"
Bon Iver,"""i,i""",8.8,Rock
Paul de Jong,IF,7.2,Experimental
Black Milk,If There's A Hell Below,7.3,Rap
Lykke Li,I Never Learn,8.4,Pop/R&B
Makthaverskan,II,7.6,Rock
TNGHT,II,7.7,Electronic
Craft Spells,Idle Labor,7.7,Rock
Denzel Curry,Imperial,SCORE ERROR,GENRES ERROR
3:33,In the Middle of Infinity,SCORE ERROR,GENRES ERROR
Emperor,In the Nightside Eclipse,SCORE ERROR,GENRES ERROR
Portugal. The Man,In the Mountain In the Cloud,SCORE ERROR,GENRES ERROR
Tim Hecker and Daniel Lopatin,Instrumental Tourist,SCORE ERROR,GENRES ERROR
Mellowhype,INSA ALBUM /,SCORE ERROR,GENRES ERROR
Clams Casino,Instrumentals 2,SCORE ERROR,GENRES ERROR
Dance Gavin Dance,Instant Gratification,SCORE ERROR,GENRES ERROR
IDK,Is He Real?,SCORE ERROR,GENRES ERROR
Roger Waters,Is This the Life We Really Want?,SCORE ERROR,GENRES ERROR
Lianne La Havas,Is Your Love Big Enough?,SCORE ERROR,GENRES ERROR
U.S. Girls,In a Poem Unlimited,8.6,Pop/R&B
Jamie xx,In Colour,9.3,Electronic
The Underachievers,Indigoism,8.0,Rap
Pixies,Indie Cindy,6.7,Rock
Clairo,Immunity,8.0,Pop/R&B
Ghost,Infestissumam,5.8,
Hot Chip,In Our Heads,8.0,Electronic
Bad Brains,Into the Future,5.9,Rock
The Mountain Goats,In League with Dragons,7.4,Rock
King Crimson,In the Court of the Crimson King,10.0,Rock
Crystal Stilts,In Love With Oblivion,7.9,"Experimental,Rock"
Quelle Chris & Chris Keys,Innocent Country 2,7.3,Rap
Tame Impala,Innerspeaker,8.5,Rock
Jon Hopkins,Immunity,8.5,Electronic
At the Drive-In,in•ter a•li•a,5.8,Rock
Quelle Chris,Innocent Country,7.3,Rap
Joji,In Tongues,5.2,Pop/R&B
King Gizzard & The Lizard Wizard,Infest the Rats' Nest,6.7,Rock
Raury,Indigo Child,6.5,Rap
Jenny Hval,Innocence Is Kinky,7.8,Experimental
BROCKHAMPTON,iridescence,6.6,Rap
Kid Cudi,Indicud,4.0,"Rap,Rock"
Neutral Milk Hotel,In the Aeroplane Over the Sea,10.0,Rock
Owen Pallett,In Conflict,8.0,Pop/R&B
Joey Purp,iiiDrops,8.3,Rap
Real Estate,In Mind,7.2,Rock
Niki and the Dove,Instinct,7.9,Pop/R&B
Nas,Illmatic,10.0,Rap
Dam-Funk,Invite the Light,7.6,Pop/R&B
of Montreal,Innocence Reaches,6.3,Rock
Nirvana,In Utero,10.0,Rock
Cardi B,Invasion of Privacy,8.7,Rap
Portal,Ion,7.8,Metal
Touché Amoré,Is Survived By,8.0,Rock
Big K.R.I.T.,It's Better This Way,SCORE ERROR,GENRES ERROR
Glasser,Interiors,7.8,Electronic
Future Islands,In Evening Air,7.6,Rock
Your Old Droog,It Wasn't Even Close,SCORE ERROR,GENRES ERROR
21 Savage,Issa Album,6.5,Rap
Kali Uchis,Isolation,8.6,Pop/R&B
DIIV,Is The Is Are,8.1,Rock
Amon Tobin,ISAM,5.9,"Electronic,Jazz"
Thundercat,It Is What It Is,7.4,"Jazz,Pop/R&B"
Weedeater,Jason...The Dragon,SCORE ERROR,GENRES ERROR
They Might Be Giants,Join Us,SCORE ERROR,GENRES ERROR
Moonsorrow,Jumalten Aika,SCORE ERROR,GENRES ERROR
Kai Whiston,Kai Whiston Bitch,SCORE ERROR,GENRES ERROR
Kankyō Ongaku,"""Japanese Ambient, Environmental & New Age Music""",SCORE ERROR,GENRES ERROR
Sunn o))),Kannon,SCORE ERROR,GENRES ERROR
Pusha T,King Push – Darkest Before Dawn: The Prelude,SCORE ERROR,GENRES ERROR
Evian Christ,Kings and Them,SCORE ERROR,GENRES ERROR
Your Old Droog,Kinison,SCORE ERROR,GENRES ERROR
Mr. Muthafuckin' eXquire,Kismet,SCORE ERROR,GENRES ERROR
Kanye West,Jesus Is King,7.2,Rap
Brittany Howard,Jaime,8.6,Rock
BADBADNOTGOOD,IV,7.1,Jazz
Eminem,Kamikaze,5.0,Rap
Andrew Jackson Jihad,Knife Man,SCORE ERROR,GENRES ERROR
Teyana Taylor,K.T.S.E.,7.8,Pop/R&B
Battles,Juice B Crypts,6.1,Rock
Hopsin,Knock Madness,SCORE ERROR,GENRES ERROR
Otoboke Beaver,Itekoma Hits,7.7,Rock
iamamiwhoami,Kin,7.6,"Electronic,Rock"
Salem,King Night,7.5,"Electronic,Metal"
Lady Gaga,Joanne,6.9,Pop/R&B
Young Thug,Jeffery,8.5,Rap
Big K.R.I.T.,K.R.I.T. Iz Here,6.8,Rap
The Game,Jesus Piece,6.0,Rap
Sleigh Bells,Jessica Rabbit,5.9,Pop/R&B
Sleaford Mods,Key Markets,7.5,Rock
Destroyer,Kaputt,7.9,Rock
Miguel,Kaleidoscope Dream,8.4,Pop/R&B
Black Mountain,IV,7.5,Rock
Pianos Become The Teeth,Keep You,7.3,Rock
jj,Kills,7.6,"Electronic,Rock"
IDLES,Joy as an Act of Resistance.,6.8,Rock
The Flaming Lips,King's Mouth,7.0,Rock
Nocando,Jimmy The Burnout,7.7,Rap
Burial,Kindred,8.7,"Electronic,Experimental"
James Blake,James Blake,5.8,Pop/R&B
Moonface,Julia With Blue Jeans On,7.7,Rock
Big K.R.I.T.,King Remembered In Time,6.8,Rap
Todd Terje,It's Album Time,8.7,Electronic
M83,JUNK,6.8,"Electronic,Rock"
Billy Woods,Known Unknowns,SCORE ERROR,GENRES ERROR
DaBaby,Kirk,7.6,Rap
Chromatics,Kill For Love,8.7,"Electronic,Rock"
Deftones,Koi No Yokan,SCORE ERROR,GENRES ERROR
Daphni,Jiaolong,7.5,Electronic
Death Cab For Cutie,Kintsugi,5.5,Rock
Meshuggah,Koloss,SCORE ERROR,GENRES ERROR
The Weeknd,Kiss Land,6.2,Pop/R&B
Artificial Brain,Labyrinth Constellation,SCORE ERROR,GENRES ERROR
Converge,Jane Doe,7.7,Metal
Peste Noire,La Chaise-Dyable,SCORE ERROR,GENRES ERROR
King Krule,King Krule,7.0,Electronic
Destroyer,ken,7.9,Rock
Wavves,King of the Beach,8.4,Rock
JJ DOOM,Key to the Kuffs,7.3,Rap
Rapsody,Laila's Wisdom,SCORE ERROR,GENRES ERROR
Spooky Black,Leaving,SCORE ERROR,GENRES ERROR
R.A. The Rugged Man,Legends Never Die,SCORE ERROR,GENRES ERROR
Sunn O))),Life Metal,SCORE ERROR,GENRES ERROR
